4	ayy4	299	#00303b,#ff7777,#ffce96,#f1f2da
4	nostalgia	399	#d0d058,#a0a840,#708028,#405010
4	wish-gb	391	#622e4c,#7550e8,#608fcf,#8be5ff
4	spacehaze	332	#f8e3c4,#cc3495,#6b1fb1,#0b0630
4	blue-seni	276	#d0f4f8,#70b0c0,#3c3468,#1c0820
4	purpledawn	232	#eefded,#9a7bbc,#2d757e,#001b2e
4	andrade-gameboy	662	#202020,#5e6745,#aeba89,#e3eec0
4	lightgreen	179	#f4fbd0,#68cf68,#1e9178,#05241f
4	nymph-gb	466	#2c2137,#446176,#3fac95,#a1ef8c
4	platinum	227	#e0f0e8,#a8c0b0,#507868,#183030
4	harshgreens	150	#beeb71,#6ab417,#376d03,#172808
4	muddysand	113	#e6d69c,#b4a56a,#7b7162,#393829
4	arq4	1324	#ffffff,#6772a9,#3a3277,#000000
4	grand-dad-4	309	#4c1c2d,#d23c4e,#5fb1f5,#eaf5fa
4	cherrymelon	25	#fcdeea,#ff4d6d,#265935,#012824
4	links-awakening-sgb	2441	#5a3921,#6b8c42,#7bc67b,#ffffb5
4	nintendo-super-gameboy	2136	#331e50,#a63725,#d68e49,#f7e7c6
4	nintendo-gameboy-bgb	1917	#081820,#346856,#88c070,#e0f8d0
4	pokemon-sgb	1576	#181010,#84739c,#f7b58c,#ffefff
4	cga-palette-1-high	1060	#000000,#ff55ff,#55ffff,#ffffff
4	kirby-sgb	659	#2c2c96,#7733e7,#e78686,#f7bef7
4	gb-chocolate	1172	#ffe4c2,#dca456,#a9604c,#422936
4	2-bit-grayscale	3753	#000000,#676767,#b6b6b6,#ffffff
4	grafxkid-gameboy-pocket-gray	1489	#2b2b26,#706b66,#a89f94,#e0dbcd
4	grapefruit	625	#65296c,#b76591,#f4b26b,#fff5dd
4	cga-palette-2-high	598	#000000,#FF5555,#55FFFF,#FFFFFF
4	grafxkid-gameboy-pocket-green	444	#4c625a,#7b9278,#abc396,#dbf4b4
4	nintendo-gameboy-black-zero	567	#2e463d,#385d49,#577b46,#7e8416
4	didi4	556	#dcfecf,#77af68,#3a655a,#210b2e
4	cga-palette-0-high	539	#000000,#55ff55,#ff5555,#ffff55
4	jb4	480	#daf3ec,#00bff3,#ed008c,#260016
4	pj-gameboy	481	#1f1f1f,#4d533c,#8b956d,#c4cfa1
4	megaman-v-sgb	1150	#102533,#42678e,#6f9edf,#cecece
4	nintendo-gameboy-arne	736	#243137,#3f503f,#768448,#acb56b
4	darkboy4	471	#e7e8f3,#8c83c3,#634d8f,#120b19
4	metroid-ii-sgb	435	#2c1700,#047e60,#b62558,#aedf1e
4	cga-palette-0-low	269	#000000,#00aa00,#aa0000,#aa5500
4	sweet-guarana	326	#253b46,#18865f,#61d162,#ebe7ad
4	gb-easy-greens	298	#004333,#0d8833,#a1bc00,#ebdd77
4	cga-palette-1-low	203	#000000,#aa00aa,#00aaaa,#aaaaaa
4	super-mario-land-2-sgb	284	#000000,#11c600,#dfa677,#eff7b6
4	cga-palette-2-low	168	#000000,#aa0000,#00aaaa,#aaaaaa
4	arne-4	135	#000000,#00519c,#b84b12,#afd84f
4	kid-icarus-sgb	380	#1e0000,#9e0000,#f78e50,#cef7f7
8	secam	146	#000000,#2121ff,#f03c79,#ff50ff,#7fff00,#7fffff,#ffff3f,#ffffff
